Date, Year of Study,Gender, Difficulty of sleep, Sleeping hours per day,Trouble,Rating of Sleep,Study Difficulty,Difficulty of fatigue,Missing of class,Impact,Habits of screen,Drinking habits of beverages,Physical Activity,Stress Level,Rating of Study
10/24/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Average
10/24/2024,Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Good
10/24/2024,First year,Female,Sometimes (3-4 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average
10/24/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Poor,Often,Often,Rarely (1-2 times a month),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Every day,Extremely high stress,Excellent
10/24/2024,Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Average
10/24/2024,Second year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Sometimes,Rarely,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress,Below Average
10/24/2024,Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Never,No stress,Good
10/24/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Good
10/24/2024,Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Sometimes,Rarely,Rarely (1-2 times a month),Moderate impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),Extremely high stress,Average
10/24/2024,Third year,Male,Every night,More than 8 hours,Every night,Very good,Always,Always,Always,Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor
